"","sample_id","phylo_div","SR"
"384","AD1_2007__Meyer 1  6__2005-05-27",8,3
"385","AD1_2007__Meyer 1  7__2005-05-27",7,3
"386","AD1_2007__Meyer 1  8__2005-05-27",6,2
"387","AD1_2007__Meyer 1  9__2005-05-27",7,3
"388","AD1_2007__Meyer 2  10__2000-05-30",6,2
"389","AD1_2007__Meyer 2  11__2000-05-30",6,2
"390","AD1_2007__Meyer 2  12__2000-05-30",6,2
"391","AD1_2007__Meyer 2  13__2000-05-30",9,4
"392","AD1_2007__Meyer 2  14__2000-05-30",5,1
"393","AD1_2007__Meyer 2  15__2000-05-30",6,2
"394","AD1_2007__Meyer 2  1__2000-05-30",5,1
"395","AD1_2007__Meyer 2  2__2000-05-30",6,2
"396","AD1_2007__Meyer 2  3__2000-05-30",7,3
"397","AD1_2007__Meyer 2  4__2000-05-30",9,4
"398","AD1_2007__Meyer 2  5__2000-05-30",6,2
"399","AD1_2007__Meyer 2  6__2000-05-30",8,3
"400","AD1_2007__Meyer 2  7__2000-05-30",5,1
"401","AD1_2007__Meyer 2  8__2000-05-30",6,2
"402","AD1_2007__Meyer 2  9__2000-05-30",7,3
"403","AD1_2007__Winfree 1  10__2003-06-14",5,1
"404","AD1_2007__Winfree 1  11__2003-06-14",5,1
"405","AD1_2007__Winfree 1  12__2003-06-14",5,1
"406","AD1_2007__Winfree 1  13__2003-06-14",5,1
"407","AD1_2007__Winfree 1  14__2003-06-14",5,1
"408","AD1_2007__Winfree 1  15__2003-06-14",5,1
"409","AD1_2007__Winfree 1  16__2003-06-14",5,1
"410","AD1_2007__Winfree 1  17__2003-06-14",5,1
"411","AD1_2007__Winfree 1  18__2003-06-14",5,1
"412","AD1_2007__Winfree 1  19__2003-06-14",5,1
"413","AD1_2007__Winfree 1  1__2003-06-14",5,1
"414","AD1_2007__Winfree 1  20__2003-06-14",5,1
"415","AD1_2007__Winfree 1  21__2003-06-14",5,1
"416","AD1_2007__Winfree 1  22__2003-06-14",5,1
"417","AD1_2007__Winfree 1  23__2003-06-14",5,1
"418","AD1_2007__Winfree 1  24__2003-06-14",5,1
"419","AD1_2007__Winfree 1  25__2003-06-14",5,1
"420","AD1_2007__Winfree 1  26__2003-06-14",5,1
"421","AD1_2007__Winfree 1  27__2003-06-14",5,1
"422","AD1_2007__Winfree 1  28__2003-06-14",5,1
"423","AD1_2007__Winfree 1  29__2003-06-14",5,1
"424","AD1_2007__Winfree 1  2__2003-06-14",5,1
"425","AD1_2007__Winfree 1  30__2003-06-14",5,1
"426","AD1_2007__Winfree 1  31__2003-06-14",5,1
"427","AD1_2007__Winfree 1  32__2003-06-14",5,1
"428","AD1_2007__Winfree 1  33__2003-06-14",5,1
"429","AD1_2007__Winfree 1  34__2003-06-14",5,1
"430","AD1_2007__Winfree 1  35__2003-06-14",5,1
"431","AD1_2007__Winfree 1  36__2003-06-14",5,1
"432","AD1_2007__Winfree 1  37__2003-06-14",5,1
"433","AD1_2007__Winfree 1  38__2003-06-14",5,1
"434","AD1_2007__Winfree 1  39__2003-06-14",5,1
"435","AD1_2007__Winfree 1  3__2003-06-14",5,1
"436","AD1_2007__Winfree 1  40__2003-06-14",5,1
"437","AD1_2007__Winfree 1  4__2003-06-14",5,1
"438","AD1_2007__Winfree 1  5__2003-06-14",5,1
"439","AD1_2007__Winfree 1  6__2003-06-14",5,1
"440","AD1_2007__Winfree 1  7__2003-06-14",5,1
"441","AD1_2007__Winfree 1  8__2003-06-14",5,1
"442","AD1_2007__Winfree 1  9__2003-06-14",5,1
