sample_id,phylo_div,SR
AD1_2007__Herrmann 1  13__2005-08-10,5,1
AD1_2007__Herrmann 1  1__2005-08-10,5,1
AD1_2007__Herrmann 1  2__2005-08-10,5,1
AD1_2007__Herrmann 1  3__2005-08-10,5,1
AD1_2007__Herrmann 1  4__2005-08-10,5,1
AD1_2007__Herrmann 1  5__2005-08-10,5,1
AD1_2007__Herrmann 1  6__2005-08-10,5,1
AD1_2007__Herrmann 1  7__2005-08-10,5,1
AD1_2007__Herrmann 1  8__2005-08-10,5,1
AD1_2007__Herrmann 1  9__2005-08-10,5,1
AD1_2007__Herrmann 2  10__2005-08-10,5,1
AD1_2007__Herrmann 2  11__2005-08-10,5,1
AD1_2007__Herrmann 2  12__2005-08-10,5,1
AD1_2007__Herrmann 2  13__2005-08-10,5,1
AD1_2007__Herrmann 2  1__2005-08-10,5,1
AD1_2007__Herrmann 2  2__2005-08-10,5,1
AD1_2007__Herrmann 2  3__2005-08-10,5,1
AD1_2007__Herrmann 2  4__2005-08-10,5,1
AD1_2007__Herrmann 2  5__2005-08-10,5,1
AD1_2007__Herrmann 2  6__2005-08-10,5,1
AD1_2007__Herrmann 2  7__2005-08-10,5,1
AD1_2007__Herrmann 2  8__2005-08-10,5,1
AD1_2007__Herrmann 2  9__2005-08-10,5,1
AD1_2007__Meyer 1  10__2005-05-27,7,3
AD1_2007__Meyer 1  11__2005-05-27,8,3
AD1_2007__Meyer 1  12__2005-05-27,6,2
AD1_2007__Meyer 1  13__2005-05-27,8,3
AD1_2007__Meyer 1  14__2005-05-27,7,3
AD1_2007__Meyer 1  15__2005-05-27,5,1
AD1_2007__Meyer 1  1__2005-05-27,9,4
AD1_2007__Meyer 1  2__2005-05-27,7,3
AD1_2007__Meyer 1  3__2005-05-27,10,5
AD1_2007__Meyer 1  4__2005-05-27,8,4
AD1_2007__Meyer 1  5__2005-05-27,6,2
AD1_2007__Meyer 1  6__2005-05-27,8,3
AD1_2007__Meyer 1  7__2005-05-27,7,3
AD1_2007__Meyer 1  8__2005-05-27,6,2
AD1_2007__Meyer 1  9__2005-05-27,7,3
AD1_2007__Meyer 2  10__2000-05-30,6,2
AD1_2007__Meyer 2  11__2000-05-30,6,2
AD1_2007__Meyer 2  12__2000-05-30,6,2
AD1_2007__Meyer 2  13__2000-05-30,9,4
AD1_2007__Meyer 2  14__2000-05-30,5,1
AD1_2007__Meyer 2  15__2000-05-30,6,2
AD1_2007__Meyer 2  1__2000-05-30,5,1
AD1_2007__Meyer 2  2__2000-05-30,6,2
AD1_2007__Meyer 2  3__2000-05-30,7,3
AD1_2007__Meyer 2  4__2000-05-30,9,4
AD1_2007__Meyer 2  5__2000-05-30,6,2
AD1_2007__Meyer 2  6__2000-05-30,8,3
AD1_2007__Meyer 2  7__2000-05-30,5,1
AD1_2007__Meyer 2  8__2000-05-30,6,2
AD1_2007__Meyer 2  9__2000-05-30,7,3
AD1_2007__Winfree 1  10__2003-06-14,5,1
AD1_2007__Winfree 1  11__2003-06-14,5,1
