GENUS_SPECIES,taxonomic_class
Phyllonorycter platanoidella,Insecta
Triaxomera parasitella,Insecta
Arctia caja,Insecta
Brachmia rufescens,Insecta
Coleophora artemisicolella,Insecta
Coleophora deauratella,Insecta
Coleophora spinella,Insecta
Drepana falcataria,Insecta
Ennomos erosaria,Insecta
Eucosma lacteana,Insecta
Euplexia lucipara,Insecta
Leucoptera laburnella,Insecta
Ophonus puncticeps,Insecta
Parornix betulae,Insecta
Philhygra melanocera,Insecta
Stigmella hemargyrella,Insecta
Tinea semifulvella,Insecta
Coleophora trochilella,Insecta
Hadena compta,Insecta
Lacanobia contigua,Insecta
Melanotus villosus,Insecta
Mythimna conigera,Insecta
Trixagus carinifrons,Insecta
Acronicta megacephala,Insecta
Brachylomia viminalis,Insecta
Diarsia brunnea,Insecta
Dichelia histrionana,Insecta
Eucosma conterminana,Insecta
Lycophotia porphyrea,Insecta
Malacasoma neustria,Insecta
Phtheochroa inopiana,Insecta
Plusia putnami,Insecta
Adrastus pallens,Insecta
Cantharis nigra,Insecta
Coleophora mayrella,Insecta
Enochrus halophilus,Insecta
Hypenodes humidalis,Insecta
Monochroa lutulentella,Insecta
Oecophora bractella,Insecta
Pyrausta aurata,Insecta
Tinea pellionella,Insecta
Tischeria ekebladella,Insecta
Chrysoesthia drurella,Insecta
Coleophora glaucicolella,Insecta
Gelechia rhombella,Insecta
Zeiraphera ratzeburgiana,Insecta
Stigmella minusculella,Insecta
Amphipoea oculea,Insecta
Cercyon terminatus,Insecta
Enochrus bicolor,Insecta
Hygrotus impressopunctatus,Insecta
Agonopterix arenella,Insecta
Amara majuscula,Insecta
Apamea oblonga,Insecta
Archanara geminipuncta,Insecta
Bryotropha senectella,Insecta
Chrysoclista linneella,Insecta
Cymbiodyta marginella,Insecta
Dacrila fallax,Insecta
Deinopsis erosa,Insecta
Elachista bisulcella,Insecta
Helcystogramma lutatella,Insecta
Hylesinus fraxini,Insecta
Ilybius subaeneus,Insecta
Pandemis corylana,Insecta
Philonthus marginatus,Insecta
Phyllonorycter corylifoliella,Insecta
Phyllonorycter insignitella,Insecta
Phyllotreta undulata,Insecta
Pityogenes bidentatus,Insecta
Propylea quatuordecimpunctata,Insecta
Rhyacia simulans,Insecta
Scolytus intricatus,Insecta
Witlesia pallida,Insecta
Xestia baja,Insecta
Agapeta hamana,Insecta
Agriphila geniculea,Insecta
Amischa bifoveolata,Insecta
Anotylus complanatus,Insecta
Atheta coriaria,Insecta
Atheta crassicornis,Insecta
Atomaria fuscata,Insecta
Atomaria turgida,Insecta
Aulonium trisulcum,Insecta
Bradycellus harpalinus,Insecta
Bucculatrix maritima,Insecta
Carpelimus lindbergi,Insecta
Clivina fossor,Insecta
Cordalia obscura,Insecta
Corticaria elongata,Insecta
Cryptophilus integer,Insecta
Dacne bipustulata,Insecta
Dinaraea angustula,Insecta
Drepana curvatula,Insecta
Dryops luridus,Insecta
Enochrus fuscipennis,Insecta
Eulamprotes wilkella,Insecta
Eupoecilia angustana,Insecta
Gelechia cuneatella,Insecta
Hydraecia micacea,Insecta
Lathrobium fulvipenne,Insecta
Ligdia adustata,Insecta
Lithocharis nigriceps,Insecta
Migneauxia orientalis,Insecta
Monotoma longicollis,Insecta
Niditinea fuscella,Insecta
Olibrus corticalis,Insecta
Ophonus melleti,Insecta
Ptenidium pusillum,Insecta
Pyralis farinalis,Insecta
Sepedophilus testaceus,Insecta
Sericoderus lateralis,Insecta
Sphaeriestes castaneus,Insecta
Trixagus meybohmi,Insecta
Yponomeuta irrorella,Insecta
Mythimna albipuncta,Insecta
Tomicus piniperda,Insecta
Spaelotis ravida,Insecta
Nomophila noctuella,Insecta
Aphodius rufus,Insecta
Epinotia maculana,Insecta
Pennithera firmata,Insecta
Xanthia icteritia,Insecta
Curculio glandium,Insecta
Acleris comariana,Insecta
Chloroclysta siterata,Insecta
Bradycellus csikii,Insecta
Hypsopygia costalis,Insecta
Laspeyria flexula,Insecta
Operophtera brumata,Insecta
Alsophila aescularia,Insecta
Conistra vaccinii,Insecta
Eriocrania semipurpurella,Insecta
Epermenia chaerophyllella,Insecta
Cyclophora punctaria,Insecta
Earias vernana,Insecta
Eupithecia exiguata,Insecta
Prays fraxinella,Insecta
Pselaphorhynchites aequatus,Insecta
Elachista monosemiella,Insecta
Lomographa temerata,Insecta
Spilosoma lutea,Insecta
Aderus populneus,Insecta
Anaspis maculata,Insecta
Apotomis turbidana,Insecta
Cyphon pubescens,Insecta
Dorytomus taeniatus,Insecta
Elachista albifrontella,Insecta
Hadrobregmus pertinax,Insecta
Haploglossa villosula,Insecta
Hydrelia flammeolaria,Insecta
Mythimna obsoleta,Insecta
Olibrus bicolor,Insecta
Opostega salaciella,Insecta
Orthotaenia undulana,Insecta
Phycitodes albatella,Insecta
Phymatodes testaceus,Insecta
Reesa vespulae,Insecta
Telmatophilus brevicollis,Insecta
Acupalpus parvulus,Insecta
Aethes rubigana,Insecta
Aphelia viburnana,Insecta
Epinotia demarniana,Insecta
Eulithis melliniata,Insecta
Eupithecia subumbrata,Insecta
Hydroporus palustris,Insecta
Lygephila pastinum,Insecta
Microcara testacea,Insecta
Phycitodes binaevella,Insecta
Suphrodytes dorsalis,Insecta
Zeiraphera griseana,Insecta
Adoxophyes orana,Insecta
Argyresthia spinosella,Insecta
Bembidion assimile,Insecta
Cercyon sternalis,Insecta
Coleophora taeniipennella,Insecta
Cydia coniferana,Insecta
Dyschirius tristis,Insecta
Ptilinus pectinicornis,Insecta
Stephostethus lararius,Insecta
Teleiodes flavimaculella,Insecta
Agonopterix conterminella,Insecta
Arhopalus rusticus,Insecta
Athrips mouffetella,Insecta
Elachista canapennella,Insecta
Hypena proboscidalis,Insecta
Photedes minima,Insecta
Amara consularis,Insecta
Atomaria atricapilla,Insecta
Crocallis elinguaria,Insecta
Cryptophagus dentatus,Insecta
Epinotia immundana,Insecta
Ernobius nigrinus,Insecta
Eulamprotes atrella,Insecta
Gelechia sestertiella,Insecta
Hadena rivularis,Insecta
Hepialus sylvina,Insecta
Rhantus frontalis,Insecta
Scrobipalpa obsoletella,Insecta
Stigmella ulmivora,Insecta
Syngrapha interrogationis,Insecta
Udea lutealis,Insecta
Ypsolopha horridella,Insecta
Ectoedemia septembrella,Insecta
Altica oleracea,Insecta
Amphipyra berbera,Insecta
Clostera curtula,Insecta
Limnaecia phragmitella,Insecta
Lobesia littoralis,Insecta
Dromius spilotus,Insecta
Endothenia quadrimaculana,Insecta
Heterocerus fusculus,Insecta
Heterocerus hispidulus,Insecta
Leucospilapteryx omissella,Insecta
Loricera pilicornis,Insecta
Metoecus paradoxus,Insecta
Monopis monachella,Insecta
Parapoynx stratiotata,Insecta
Pelurga comitata,Insecta
Philhygra palustris,Insecta
Pyrausta purpuralis,Insecta
Rhantus grapii,Insecta
Stigmella centifoliella,Insecta
Stigmella hybnerella,Insecta
Rhantus suturellus,Insecta
Brachmia inornatella,Insecta
Itame brunneata,Insecta
Leucoma salicis,Insecta
Vitula edmandsii,Insecta
Denisia stipella,Insecta
Hada plebeja,Insecta
Hypomecis punctinalis,Insecta
Monopis weaverella,Insecta
Smerinthus ocellata,Insecta
Strophedra weirana,Insecta
Apamea anceps,Insecta
Aphelia unitana,Insecta
Bactra lacteana,Insecta
Metzneria metzneriella,Insecta
Nemapogon cloacella,Insecta
Actinotia polyodon,Insecta
Coleophora striatipennella,Insecta
Evergestis forficalis,Insecta
Hydriomena impluviata,Insecta
Kateretes rufilabris,Insecta
Odontopera bidentata,Insecta
Plagodis dolabraria,Insecta
Myelois circumvoluta,Insecta
Nephus bipunctatus,Insecta
Oligia fasciuncula,Insecta
Acasis viretata,Insecta
Agonum piceum,Insecta
Cantharis decipiens,Insecta
Dalopius marginatus,Insecta
Deilephila porcellus,Insecta
Malachius bipustulatus,Insecta
Mycetochara axillaris,Insecta
Agrotera nemoralis,Insecta
Eledona agricola,Insecta
Scoparia ambigualis,Insecta
Argyresthia pygmaeella,Insecta
Rhyacionia buoliana,Insecta
Anotylus insecatus,Insecta
Calathus ambiguus,Insecta
Eilema lutarella,Insecta
Hygrotus decoratus,Insecta
Lathrobium elongatum,Insecta
Monopis obviella,Insecta
Rhagonycha lutea,Insecta
Scirtes orbicularis,Insecta
Xanthorhoe quadrifasciata,Insecta
Bledius limicola,Insecta
Celypha cespitana,Insecta
Coleophora zelleriella,Insecta
Ephestia elutella,Insecta
Epuraea unicolor,Insecta
Eupithecia inturbata,Insecta
Oligia versicolor,Insecta
Stigmella lemniscella,Insecta
Stigmella luteella,Insecta
Acrotona aterrima,Insecta
Bembidion varium,Insecta
Cantharis cryptica,Insecta
Celypha lacunana,Insecta
Chionodes distinctella,Insecta
Conopalpus testaceus,Insecta
Dorytomus ictor,Insecta
Dryops similaris,Insecta
Eilema depressa,Insecta
Enochrus ochropterus,Insecta
Epinotia nigricana,Insecta
Euchoeca nebulata,Insecta
Gypsonoma sociana,Insecta
Harmonia quadripunctata,Insecta
Ilybius quadriguttatus,Insecta
